# of Accelerators,# of Nodes,Accelerator,Host Processor Core Count,Model MLC,Processor,Scenario,tokens_per_second
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8568Y+,Server,30438.66
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8568Y+,Offline,31973.7
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8568Y+,Server,30438.66
3,1,NVIDIA L40S,32,gptj-99,Intel(R) Xeon(R) Gold 6438N,Offline,2593.65
3,1,NVIDIA L40S,32,gptj-99,Intel(R) Xeon(R) Gold 6438N,Server,2475.22
8,1,NVIDIA H100-NVL-94GB,84,gptj-99,AMD EPYC 9634 84-Core Processor,Offline,14073.6
8,1,NVIDIA H100-NVL-94GB,84,gptj-99,AMD EPYC 9634 84-Core Processor,Server,13083.5
8,1,NVIDIA H100-NVL-94GB,84,llama2-70b-99,AMD EPYC 9634 84-Core Processor,Offline,15875.8
8,1,NVIDIA H100-NVL-94GB,84,llama2-70b-99,AMD EPYC 9634 84-Core Processor,Server,13074.68
8,1,NVIDIA H100-NVL-94GB,84,llama2-70b-99.9,AMD EPYC 9634 84-Core Processor,Offline,15875.8
8,1,NVIDIA H100-NVL-94GB,84,llama2-70b-99.9,AMD EPYC 9634 84-Core Processor,Server,13074.68
8,1,NVIDIA H100-SXM-80GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480C,Offline,19739.8
8,1,NVIDIA H100-SXM-80GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480C,Server,19233.8
8,1,NVIDIA H100-SXM-80GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,19739.8
8,1,NVIDIA H100-SXM-80GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,19233.8
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Offline,24524.9
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480C,Server,21605.79
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Offline,24524.9
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480C,Server,21605.79
8,1,NVIDIA H100-SXM-80GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8480C,Offline,52415.9
8,1,NVIDIA H100-SXM-80GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8480C,Server,50795.6
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99,NVIDIA Grace CPU,Offline,2627.69
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99,NVIDIA Grace CPU,Server,2513.38
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99.9,NVIDIA Grace CPU,Offline,2627.69
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99.9,NVIDIA Grace CPU,Server,2513.38
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99,NVIDIA Grace CPU,Offline,4067.52
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99,NVIDIA Grace CPU,Server,3883.67
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99.9,NVIDIA Grace CPU,Offline,4067.52
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99.9,NVIDIA Grace CPU,Server,3883.67
